GSE,CUI,SAB,CODE,STR
GSE15264,C0149678,MSH,D020031,Epstein-Barr Virus Infections
GSE15280,C0033677,ICD9CM,263.9,Protein-cal malnutr NOS
GSE15280,C0033677,ICD9CM,263.9,Unspecified protein-calorie malnutrition
GSE15288,C0019196,ICD9CM,070.7,Unspecified viral hepatitis C
GSE15288,C0019196,MSH,D006526,Hepatitis C
GSE15289,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15297,C0001487,MSH,D000258,Adenovirus Infections, Human
GSE15297,C0026691,ICD9CM,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS]
GSE15297,C0026691,ICD9CM,446.1,Mucocutan lymph node syn
GSE15297,C0026691,MSH,D009080,Mucocutaneous Lymph Node Syndrome
GSE15309,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15311,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15312,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15314,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15316,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE15316,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE15318,C0009319,MSH,D003092,Colitis
GSE15319,C0042029,ICD9CM,599.0,Urin tract infection NOS
GSE15319,C0042029,ICD9CM,599.0,Urinary tract infection, site not specified
GSE15319,C0042029,MSH,D014552,Urinary Tract Infections
GSE15320,C0011849,ICD9CM,250,Diabetes mellitus
GSE15320,C0011849,MSH,D003920,Diabetes Mellitus
GSE15328,C0001314,MSH,D000208,Acute Disease
GSE15328,C0008679,MSH,D002908,Chronic Disease
GSE15328,C0026918,ICD9CM,031.9,Mycobacterial dis NOS
GSE15328,C0026918,ICD9CM,031.9,Unspecified diseases due to mycobacteria
GSE15328,C0026918,MSH,D009164,Mycobacterium Infections
GSE15331,C0019196,ICD9CM,070.7,Unspecified viral hepatitis C
GSE15331,C0019196,MSH,D006526,Hepatitis C
GSE15335,C0041327,ICD9CM,011,Pulmonary tuberculosis
GSE15335,C0041327,ICD9CM,011.9,Unspecified pulmonary tuberculosis
GSE15335,C0041327,ICD9CM,011.90,Pulmonary TB NOS-unspec
GSE15335,C0041327,ICD9CM,011.90,Pulmonary tuberculosis, unspecified, unspecified
GSE15335,C0041327,MSH,D014397,Tuberculosis, Pulmonary
GSE15336,C0003119,ICD9CM,743.0,Anophthalmos
GSE15336,C0003119,ICD9CM,743.00,Clinic anophthalmos NOS
GSE15336,C0003119,ICD9CM,743.00,Clinical anophthalmos, unspecified
GSE15336,C0005940,MSH,D001847,Bone Diseases
GSE15336,C0015695,MSH,D005234,Fatty Liver
GSE15336,C0024115,MSH,D008171,Lung Diseases
GSE15336,C0026010,ICD9CM,743.1,Microphthalmos
GSE15336,C0026010,ICD9CM,743.10,Microphthalmos NOS
GSE15336,C0026010,ICD9CM,743.10,Microphthalmos, unspecified
GSE15336,C0026010,ICD9CM,743.11,Simple microphthalmos
GSE15336,C0030193,ICD9CM,338-338.99,PAIN
GSE15336,C0242422,MSH,D020734,Parkinsonian Disorders
GSE15344,C0024895,MSH,D008414,Mastitis, Bovine
GSE15344,C0038395,MSH,D013290,Streptococcal Infections
GSE15345,C0001883,MSH,D000402,Airway Obstruction
GSE15345,C0004096,ICD9CM,493,Asthma
GSE15345,C0004096,ICD9CM,493.9,Asthma, unspecified
GSE15345,C0004096,MSH,D001249,Asthma
GSE15347-GPL2004,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15347-GPL2005,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15347-GPL3718,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15347-GPL3720,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15347-GPL96,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15359,C0004096,ICD9CM,493,Asthma
GSE15359,C0004096,ICD9CM,493.9,Asthma, unspecified
GSE15359,C0004096,MSH,D001249,Asthma
GSE15379,C0004610,ICD9CM,790.7,Bacteremia
GSE15379,C0004610,MSH,D016470,Bacteremia
GSE15379,C0024115,MSH,D008171,Lung Diseases
GSE15384,C0015934,ICD9CM,764.9,Fetal growth retardation, unspecified
GSE15384,C0015934,ICD9CM,764.90,Fet growth retard wtNOS
GSE15384,C0015934,ICD9CM,764.90,Fetal growth retardation, unspecified, unspecified [weight]
GSE15387-GPL6955,C0019196,ICD9CM,070.7,Unspecified viral hepatitis C
GSE15387-GPL6955,C0019196,MSH,D006526,Hepatitis C
GSE15387-GPL887,C0019196,ICD9CM,070.7,Unspecified viral hepatitis C
GSE15387-GPL887,C0019196,MSH,D006526,Hepatitis C
GSE15389,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15392,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15395,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15396,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15397,C0026846,MSH,D009133,Muscular Atrophy
GSE15401,C0020456,MSH,D006943,Hyperglycemia
GSE15402,C0004352,ICD9CM,299.0,Autistic disorder
GSE15402,C0236811,MSH,D021081,Chronobiology Disorders
GSE15407,C0001973,ICD9CM,303,Alcohol dependence syndrome
GSE15414,C0001883,MSH,D000402,Airway Obstruction
GSE15414,C0004096,ICD9CM,493,Asthma
GSE15414,C0004096,ICD9CM,493.9,Asthma, unspecified
GSE15414,C0004096,MSH,D001249,Asthma
GSE15417,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15429-GPL3069,C0001883,MSH,D000402,Airway Obstruction
GSE15429-GPL3069,C0004096,ICD9CM,493,Asthma
GSE15429-GPL3069,C0004096,ICD9CM,493.9,Asthma, unspecified
GSE15429-GPL3069,C0004096,MSH,D001249,Asthma
GSE15429-GPL8331,C0001883,MSH,D000402,Airway Obstruction
GSE15429-GPL8331,C0004096,ICD9CM,493,Asthma
GSE15429-GPL8331,C0004096,ICD9CM,493.9,Asthma, unspecified
GSE15429-GPL8331,C0004096,MSH,D001249,Asthma
GSE15434,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE15434,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE15437,C0041296,ICD9CM,010-018.99,TUBERCULOSIS
GSE15437,C0041296,MSH,D014376,Tuberculosis
GSE15441,C0024895,MSH,D008414,Mastitis, Bovine
GSE15447,C0009021,ICD9CM,121.1,Clonorchiasis
GSE15447,C0009021,MSH,D003003,Clonorchiasis
GSE15448,C0011175,ICD9CM,276.51,Dehydration
GSE15448,C0011175,MSH,D003681,Dehydration
GSE15449,C0001314,MSH,D000208,Acute Disease
GSE15449,C0008679,MSH,D002908,Chronic Disease
GSE15449,C0878544,ICD9CM,425,Cardiomyopathy
GSE15449,C0878544,MSH,D009202,Cardiomyopathies
GSE15450,C0007453,MSH,D002418,Cattle Diseases
GSE15450,C0042769,MSH,D014777,Virus Diseases
GSE15451,C0004352,ICD9CM,299.0,Autistic disorder
GSE15454,C0013884,MSH,D004605,Elephantiasis, Filarial
GSE15470,C0007570,ICD9CM,579.0,Celiac disease
GSE15470,C0007570,MSH,D002446,Celiac Disease
GSE1549,C0008354,ICD9CM,001,Cholera
GSE1549,C0008354,ICD9CM,001.0,Cholera d/t vib cholerae
GSE1549,C0008354,ICD9CM,001.0,Cholera due to vibrio cholerae
GSE1549,C0008354,ICD9CM,001.9,Cholera NOS
GSE1549,C0008354,ICD9CM,001.9,Cholera, unspecified
GSE1549,C0008354,MSH,D002771,Cholera
GSE15490,C0023434,ICD9CM,204.1,Lymphoid leukemia, chronic
GSE15495,C0038395,MSH,D013290,Streptococcal Infections
GSE15495,C0243026,ICD9CM,995.91,Sepsis
GSE15495,C0243026,MSH,D018805,Sepsis
GSE15497,C0026764,ICD9CM,203.0,Multiple myeloma
GSE1550,C0038395,MSH,D013290,Streptococcal Infections
GSE1551,C0011633,ICD9CM,710.3,Dermatomyositis
GSE1551,C0011633,MSH,D003882,Dermatomyositis
GSE1551,C0027868,ICD9CM,358,Myoneural disorders
GSE1551,C0027868,ICD9CM,358.9,Myoneural disorders NOS
GSE1551,C0027868,ICD9CM,358.9,Myoneural disorders, unspecified
GSE1551,C0027868,MSH,D009468,Neuromuscular Diseases
GSE1551,C0238190,ICD9CM,359.71,Inclusion body myositis
GSE1551,C0238190,MSH,D018979,Myositis, Inclusion Body
GSE15511,C0030409,ICD9CM,116.1,Paracoccidioidomycosis
GSE15511,C0030409,MSH,D010229,Paracoccidioidomycosis
GSE15516,C0011854,MSH,D003922,Diabetes Mellitus, Type 1
GSE15516,C0020456,MSH,D006943,Hyperglycemia
GSE15516,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE1552,C0019372,MSH,D006566,Herpesviridae Infections
GSE1552,C0206751,MSH,D018353,Rhabdoviridae Infections
GSE15524,C0028754,ICD9CM,278.00,Obesity NOS
GSE15524,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE15524,C0028754,MSH,D009765,Obesity
GSE15530,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15538,C0032080,MSH,D010935,Plant Diseases
GSE15541,C0005961,ICD9CM,41.00,Bone marrow transplant, not otherwise specified
GSE15541,C0005961,ICD9CM,41.00,Bone marrow trnsplnt NOS
GSE15541,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15546,C0038395,MSH,D013290,Streptococcal Infections
GSE1555,C0002395,ICD9CM,331.0,Alzheimer's disease
GSE1555,C0002395,MSH,D000544,Alzheimer Disease
GSE1556,C0002395,ICD9CM,331.0,Alzheimer's disease
GSE1556,C0002395,MSH,D000544,Alzheimer Disease
GSE1557,C0006625,ICD9CM,799.4,Cachexia
GSE1557,C0013516,ICD9CM,88.72,Diagnostic ultrasound of heart
GSE1557,C0013516,ICD9CM,88.72,Dx ultrasound-heart
GSE1557,C0018801,ICD9CM,428,Heart failure
GSE1557,C0018801,ICD9CM,428.9,Heart failure NOS
GSE1557,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE1557,C0018801,MSH,D006333,Heart Failure
GSE15572,C0019940,MSH,D006734,Horse Diseases
GSE15572,C0026848,ICD9CM,359.9,Myopathy NOS
GSE15572,C0026848,ICD9CM,359.9,Myopathy, unspecified
GSE15572,C0026848,MSH,D009135,Muscular Diseases
GSE15573,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE15573,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE15574,C0035372,MSH,D015518,Rett Syndrome
GSE15577,C0011175,ICD9CM,276.51,Dehydration
GSE15577,C0011175,MSH,D003681,Dehydration
GSE1558-GPL1341,C0028754,ICD9CM,278.00,Obesity NOS
GSE1558-GPL1341,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE1558-GPL1341,C0028754,MSH,D009765,Obesity
GSE1558-GPL1342,C0028754,ICD9CM,278.00,Obesity NOS
GSE1558-GPL1342,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE1558-GPL1342,C0028754,MSH,D009765,Obesity
GSE15582,C0011854,MSH,D003922,Diabetes Mellitus, Type 1
GSE15598,C0038395,MSH,D013290,Streptococcal Infections
GSE1560,C0003509,MSH,D001025,Aortitis
GSE1560,C0003850,MSH,D001161,Arteriosclerosis
GSE1560,C0004153,ICD9CM,440,Atherosclerosis
GSE1560,C0004153,MSH,D050197,Atherosclerosis
GSE1560,C0010068,MSH,D003327,Coronary Disease
GSE15602,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE15602,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE15610,C0031154,ICD9CM,567.9,Peritonitis NOS
GSE15610,C0031154,ICD9CM,567.9,Unspecified peritonitis
GSE15610,C0031154,MSH,D010538,Peritonitis
GSE15610,C0162823,MSH,D017453,Dermatitis, Irritant
GSE15613,C0032080,MSH,D010935,Plant Diseases
GSE15615,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE15615,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE15621,C0038002,ICD9CM,789.2,Splenomegaly
GSE15623,C0007786,MSH,D002545,Brain Ischemia
GSE15629,C0007766,MSH,D002532,Intracranial Aneurysm
GSE15629,C0038525,ICD9CM,430,Subarachnoid hemorrhage
GSE15629,C0038525,MSH,D013345,Subarachnoid Hemorrhage
GSE1563,C0022671,ICD9CM,55.6,Transplant of kidney
GSE15630,C0041473,ICD9CM,080,Louse-borne (epidemic) typhus
GSE15630,C0041473,ICD9CM,080,Louse-borne typhus
GSE15630,C0041473,MSH,D014438,Typhus, Epidemic Louse-Borne
GSE15640,C1527336,MSH,D012859,Sjogren's Syndrome
GSE15645,C3495559,MSH,D001171,Arthritis, Juvenile
GSE15646,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15647,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15648-GPL91,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15648-GPL96,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15653,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE15653,C0015695,MSH,D005234,Fatty Liver
GSE15654,C0023890,MSH,D008103,Liver Cirrhosis
GSE15654,C0524910,MSH,D019698,Hepatitis C, Chronic
GSE15678,C0029456,ICD9CM,733.0,Osteoporosis
GSE15678,C0029456,ICD9CM,733.00,Osteoporosis NOS
GSE15678,C0029456,ICD9CM,733.00,Osteoporosis, unspecified
GSE15678,C0029456,MSH,D010024,Osteoporosis
GSE15680,C0026946,ICD9CM,110-118.99,MYCOSES
GSE15680,C0026946,MSH,D009181,Mycoses
GSE15687,C0039006,MSH,D013553,Swine Diseases
GSE15687,C0242917,MSH,D018702,Filoviridae Infections
GSE15687,C0282687,MSH,D019142,Hemorrhagic Fever, Ebola
GSE15687,C0376538,MSH,D019318,Porcine Reproductive and Respiratory Syndrome
GSE15688-GPL3718,C0026986,ICD9CM,238.75,Myelodysplastic synd NOS
GSE15688-GPL3718,C0026986,ICD9CM,238.75,Myelodysplastic syndrome, unspecified
GSE15688-GPL6801,C0026986,ICD9CM,238.75,Myelodysplastic synd NOS
GSE15688-GPL6801,C0026986,ICD9CM,238.75,Myelodysplastic syndrome, unspecified
GSE15695-GPL3718,C0005940,MSH,D001847,Bone Diseases
GSE15695-GPL3718,C0026764,ICD9CM,203.0,Multiple myeloma
GSE15695-GPL3720,C0005940,MSH,D001847,Bone Diseases
GSE15695-GPL3720,C0026764,ICD9CM,203.0,Multiple myeloma
GSE15695-GPL570,C0005940,MSH,D001847,Bone Diseases
GSE15695-GPL570,C0026764,ICD9CM,203.0,Multiple myeloma
GSE15714,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15729,C0003493,MSH,D001018,Aortic Diseases
GSE15729,C0004153,ICD9CM,440,Atherosclerosis
GSE15729,C0004153,MSH,D050197,Atherosclerosis
GSE15729,C0011875,MSH,D003925,Diabetic Angiopathies
GSE15730,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15731,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15732,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15736,C2937358,ICD9CM,431,Intracerebral hemorrhage
GSE15739,C0020542,MSH,D006976,Hypertension, Pulmonary
GSE1574,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE1574,C0026850,ICD9CM,359.1,Hered prog musc dystrphy
GSE1574,C0026850,ICD9CM,359.1,Hereditary progressive muscular dystrophy
GSE1574,C0026850,MSH,D009136,Muscular Dystrophies
GSE15743,C0524910,MSH,D019698,Hepatitis C, Chronic
GSE15750,C0023860,ICD9CM,027.0,Listeriosis
GSE15750,C0023860,MSH,D008088,Listeriosis
GSE15758,C0026706,MSH,D009084,Mucopolysaccharidosis III
GSE15765,C0524909,MSH,D019694,Hepatitis B, Chronic
GSE15773,C0028756,ICD9CM,278.01,Morbid obesity
GSE15773,C0028756,MSH,D009767,Obesity, Morbid
GSE15777,C0023434,ICD9CM,204.1,Lymphoid leukemia, chronic
GSE15783,C0007453,MSH,D002418,Cattle Diseases
GSE15783,C0014836,ICD9CM,041.49,E.coli infection NEC/NOS
GSE15783,C0014836,ICD9CM,041.49,Other and unspecified Escherichia coli [E. coli]
GSE15783,C0014836,MSH,D004927,Escherichia coli Infections
GSE15790,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE1580,C0028754,ICD9CM,278.00,Obesity NOS
GSE1580,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE1580,C0028754,MSH,D009765,Obesity
GSE15809,C0019069,ICD9CM,286.0,Cong factor viii diord
GSE15809,C0019069,ICD9CM,286.0,Congenital factor VIII disorder
GSE15809,C0019069,MSH,D006467,Hemophilia A
GSE15811,C0001815,ICD9CM,238.76,Myelofi w myelo metaplas
GSE15811,C0001815,ICD9CM,238.76,Myelofibrosis with myeloid metaplasia
GSE15812,C0524620,ICD9CM,277.7,Dysmetabolic syndrome x
GSE15812,C0524620,MSH,D024821,Metabolic Syndrome X
GSE15813,C0022671,ICD9CM,55.6,Transplant of kidney
GSE15817,C0282677,MSH,D019121,Burkholderia Infections
GSE15822,C0015695,MSH,D005234,Fatty Liver
GSE15823,C0004096,ICD9CM,493,Asthma
GSE15823,C0004096,ICD9CM,493.9,Asthma, unspecified
GSE15823,C0004096,MSH,D001249,Asthma
GSE15827,C2937421,ICD9CM,600,Hyperplasia of prostate
GSE15827,C2937421,ICD9CM,600.9,Hyperplasia of prostate, unspecified
GSE15827,C2937421,MSH,D011470,Prostatic Hyperplasia
GSE1584,C0002871,ICD9CM,285.9,Anemia NOS
GSE1584,C0002871,ICD9CM,285.9,Anemia, unspecified
GSE1584,C0002871,MSH,D000740,Anemia
GSE15840,C0005961,ICD9CM,41.00,Bone marrow transplant, not otherwise specified
GSE15840,C0005961,ICD9CM,41.00,Bone marrow trnsplnt NOS
GSE15842,C0079774,ICD9CM,202.7,Peripheral T-cell lymphoma
GSE15843,C0016719,ICD9CM,334.0,Friedreich's ataxia
GSE15843,C0016719,MSH,D005621,Friedreich Ataxia
GSE15845,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15848,C0016719,ICD9CM,334.0,Friedreich's ataxia
GSE15848,C0016719,MSH,D005621,Friedreich Ataxia
GSE15849-GPL6100,C0016719,ICD9CM,334.0,Friedreich's ataxia
GSE15849-GPL6100,C0016719,MSH,D005621,Friedreich Ataxia
GSE15849-GPL891,C0016719,ICD9CM,334.0,Friedreich's ataxia
GSE15849-GPL891,C0016719,MSH,D005621,Friedreich Ataxia
GSE15860,C0039003,ICD9CM,E002.0,Activities involving swimming
GSE15860,C0039003,ICD9CM,E002.0,Swimming
GSE15867,C0026764,ICD9CM,203.0,Multiple myeloma
GSE15869,C0004626,ICD9CM,482.9,Bacterial pneumonia NOS
GSE15869,C0004626,ICD9CM,482.9,Bacterial pneumonia, unspecified
GSE15869,C0004626,MSH,D018410,Pneumonia, Bacterial
GSE15869,C0032269,MSH,D011008,Pneumococcal Infections
GSE15869,C0033817,MSH,D011552,Pseudomonas Infections
GSE15869,C2350529,MSH,D055732,Pulmonary Aspergillosis
GSE15873,C0011630,ICD9CM,111,Dermatomycosis, other and unspecified
GSE15873,C0011630,ICD9CM,111.9,Dermatomycosis NOS
GSE15873,C0011630,ICD9CM,111.9,Dermatomycosis, unspecified
GSE15873,C0011630,MSH,D003881,Dermatomycoses
GSE15879,C0008679,MSH,D002908,Chronic Disease
GSE15879,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE1588,C0273483,ICD9CM,951.9,Injury cranial nerve NOS
GSE1588,C0273483,ICD9CM,951.9,Injury to unspecified cranial nerve
GSE1589,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE15891,C0008679,MSH,D002908,Chronic Disease
GSE1590,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE15907,C0009450,MSH,D007239,Infection
GSE1591,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE15910,C0011175,ICD9CM,276.51,Dehydration
GSE15910,C0011175,MSH,D003681,Dehydration
GSE15913,C0023434,ICD9CM,204.1,Lymphoid leukemia, chronic
GSE15914,C0004153,ICD9CM,440,Atherosclerosis
GSE15914,C0004153,MSH,D050197,Atherosclerosis
GSE15925,C0024312,ICD9CM,288.51,Lymphocytopenia
GSE15925,C0024312,MSH,D008231,Lymphopenia
GSE15938,C0000833,MSH,D000038,Abscess
GSE15938,C0038395,MSH,D013290,Streptococcal Infections
GSE15938,C0162627,MSH,D017192,Skin Diseases, Bacterial
GSE15940-GPL6103,C0524620,ICD9CM,277.7,Dysmetabolic syndrome x
GSE15940-GPL6103,C0524620,MSH,D024821,Metabolic Syndrome X
GSE15940-GPL6885,C0524620,ICD9CM,277.7,Dysmetabolic syndrome x
GSE15940-GPL6885,C0524620,MSH,D024821,Metabolic Syndrome X
GSE15946,C0026764,ICD9CM,203.0,Multiple myeloma
GSE15950,C0041466,ICD9CM,002.0,Typhoid fever
GSE15950,C0041466,MSH,D014435,Typhoid Fever
GSE15955,C0009319,MSH,D003092,Colitis
GSE15957,C0023434,ICD9CM,204.1,Lymphoid leukemia, chronic
GSE15969-GPL1261,C0027051,MSH,D009203,Myocardial Infarction
GSE15969-GPL1261,C0034065,MSH,D011655,Pulmonary Embolism
GSE15969-GPL570,C0027051,MSH,D009203,Myocardial Infarction
GSE15969-GPL570,C0034065,MSH,D011655,Pulmonary Embolism
GSE15976,C0041327,ICD9CM,011,Pulmonary tuberculosis
GSE15976,C0041327,ICD9CM,011.9,Unspecified pulmonary tuberculosis
GSE15976,C0041327,ICD9CM,011.90,Pulmonary TB NOS-unspec
GSE15976,C0041327,ICD9CM,011.90,Pulmonary tuberculosis, unspecified, unspecified
GSE15976,C0041327,MSH,D014397,Tuberculosis, Pulmonary
GSE1600,C0042842,ICD9CM,264,Vitamin A deficiency
GSE1600,C0042842,ICD9CM,264.9,Unspecified vitamin A deficiency
GSE1600,C0042842,ICD9CM,264.9,Vitamin A deficiency NOS
GSE1600,C0042842,MSH,D014802,Vitamin A Deficiency
GSE16005,C0024299,ICD9CM,200.1,Lymphosarcoma
GSE16007,C0029408,ICD9CM,715.9,Osteoarthrosis, unspecified whether generalized or localized
GSE16007,C0029408,MSH,D010003,Osteoarthritis
GSE16011,C0006118,ICD9CM,239.6,Brain neoplasm NOS
GSE16011,C0006118,ICD9CM,239.6,Neoplasm of unspecified nature of brain
GSE16014,C0023465,ICD9CM,206.0,Monocytic leukemia, acute
GSE16015,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE16020,C0023530,ICD9CM,288.50,Leukocytopenia NOS
GSE16020,C0023530,ICD9CM,288.50,Leukocytopenia, unspecified
GSE16020,C0023530,MSH,D007970,Leukopenia
GSE16020,C0026918,ICD9CM,031.9,Mycobacterial dis NOS
GSE16020,C0026918,ICD9CM,031.9,Unspecified diseases due to mycobacteria
GSE16020,C0026918,MSH,D009164,Mycobacterium Infections
GSE16020,C0026946,ICD9CM,110-118.99,MYCOSES
GSE16020,C0026946,MSH,D009181,Mycoses
GSE16020,C0026986,ICD9CM,238.75,Myelodysplastic synd NOS
GSE16020,C0026986,ICD9CM,238.75,Myelodysplastic syndrome, unspecified
GSE16020,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE16020,C0950123,MSH,D030342,Genetic Diseases, Inborn
GSE16020,C0950124,MSH,D030361,Papillomavirus Infections
GSE16032,C0001314,MSH,D000208,Acute Disease
GSE16032,C0001487,MSH,D000258,Adenovirus Infections, Human
GSE16032,C0004096,ICD9CM,493,Asthma
GSE16032,C0004096,ICD9CM,493.9,Asthma, unspecified
GSE16032,C0004096,MSH,D001249,Asthma
GSE16032,C0021400,ICD9CM,487,Influenza
GSE16032,C0021400,MSH,D007251,Influenza, Human
GSE16032,C0035235,MSH,D018357,Respiratory Syncytial Virus Infections
GSE16032,C0206613,MSH,D018184,Paramyxoviridae Infections
GSE16033,C0009319,MSH,D003092,Colitis
GSE16033,C0021390,MSH,D015212,Inflammatory Bowel Diseases
GSE16037,C0040558,ICD9CM,130,Toxoplasmosis
GSE16037,C0040558,ICD9CM,130.9,Toxoplasmosis NOS
GSE16037,C0040558,ICD9CM,130.9,Toxoplasmosis, unspecified
GSE16037,C0040558,MSH,D014123,Toxoplasmosis
GSE16041,C0027831,ICD9CM,237.71,Neurofibromatosis type I
GSE16041,C0027831,ICD9CM,237.71,Neurofibromatosis, type 1 [von recklinghausen's disease]
GSE16049,C0007193,MSH,D002311,Cardiomyopathy, Dilated
GSE16049,C0012979,MSH,D004283,Dog Diseases
GSE16059,C0012675,MSH,D004200,Diseases in Twins
GSE16059,C0015674,ICD9CM,780.71,Chronic fatigue syndrome
GSE16059,C0015674,MSH,D015673,Fatigue Syndrome, Chronic
GSE1606,C0041408,MSH,D014424,Turner Syndrome
GSE16063,C0033581,ICD9CM,601,Inflammatory diseases of prostate
GSE16063,C0033581,ICD9CM,601.9,Prostatitis NOS
GSE16063,C0033581,ICD9CM,601.9,Prostatitis, unspecified
GSE16063,C0033581,MSH,D011472,Prostatitis
GSE16067,C0020542,MSH,D006976,Hypertension, Pulmonary
GSE16067,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE16076,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE16076,C0023418,ICD9CM,208.9,Unspecified leukemia
